string,date,float64
Alexander,2026-11-01,191.21
Alexander,2026-11-02,203.91
Alexander,2026-11-03,204.944
Alexander,2026-11-04,162.432
Alexander,2026-11-05,186.576
Alexander,2026-11-06,200.313
Alexander,2026-11-07,184.053
Alexander,2026-11-08,186.038
Alexander,2026-11-09,204.194
Alexander,2026-11-10,191.28
Alexey,2026-11-01,170.351
Alexey,2026-11-02,183.178
Alexey,2026-11-03,191.693
Alexey,2026-11-04,168.014
Alexey,2026-11-05,185.228
Alexey,2026-11-06,190.611
Alexey,2026-11-07,203.369
Alexey,2026-11-08,188.021
Alexey,2026-11-09,191.454
Alexey,2026-11-10,198.543
Alina,2026-11-01,190.511
Alina,2026-11-02,215.595
Alina,2026-11-03,195.208
Alina,2026-11-04,192.898
Alina,2026-11-05,208.319
Alina,2026-11-06,179.172
Alina,2026-11-07,182.462
Alina,2026-11-08,196.365
Alina,2026-11-09,192.878
Alina,2026-11-10,186.882
Anastasia,2026-11-01,190.523
Anastasia,2026-11-02,199.478
Anastasia,2026-11-03,200.603
Anastasia,2026-11-04,199.535
Anastasia,2026-11-05,173.247
Anastasia,2026-11-06,195.463
Anastasia,2026-11-07,175.691
Anastasia,2026-11-08,194.455
Anastasia,2026-11-09,197.448
Anastasia,2026-11-10,199.946
Andrey,2026-11-01,208.546
Andrey,2026-11-02,187.253
Andrey,2026-11-03,161.698
Andrey,2026-11-04,198.202
Andrey,2026-11-05,194.789
Andrey,2026-11-06,198.871
Andrey,2026-11-07,180.724
Andrey,2026-11-08,194.974
Andrey,2026-11-09,190.197
Andrey,2026-11-10,193.211
Anna,2026-11-01,189.565
Anna,2026-11-02,190.662
Anna,2026-11-03,193.406
Anna,2026-11-04,201.311
Anna,2026-11-05,197.163
Anna,2026-11-06,203.887
Anna,2026-11-07,191.21
Anna,2026-11-08,212.794
Anna,2026-11-09,208.45
Anna,2026-11-10,194.275
Anton,2026-11-01,177.201
Anton,2026-11-02,209.654
Anton,2026-11-03,193.477
Anton,2026-11-04,185.457
Anton,2026-11-05,207.989
Anton,2026-11-06,201.305
Anton,2026-11-07,184.057
Anton,2026-11-08,188.375
Anton,2026-11-09,217.727
Anton,2026-11-10,201.537
Artem,2026-11-01,188.079
Artem,2026-11-02,193.751
Artem,2026-11-03,186.818
Artem,2026-11-04,205.313
Artem,2026-11-05,178.643
Artem,2026-11-06,194.377
Artem,2026-11-07,189.822
Artem,2026-11-08,185.616
Artem,2026-11-09,203.643
Artem,2026-11-10,203.244
Boris,2026-11-01,191.259
Boris,2026-11-02,193.665
Boris,2026-11-03,195.947
Boris,2026-11-04,201.365
Boris,2026-11-05,209.437
Boris,2026-11-06,199.808
Boris,2026-11-07,183.699
Boris,2026-11-08,185.726
Boris,2026-11-09,176.853
Boris,2026-11-10,203.953
Daria,2026-11-01,181.91
Daria,2026-11-02,188.157
Daria,2026-11-03,170.654
Daria,2026-11-04,213.556
Daria,2026-11-05,190.299
Daria,2026-11-06,193.136
Daria,2026-11-07,191.946
Daria,2026-11-08,184.51
Daria,2026-11-09,214.027
Daria,2026-11-10,205.83
Denis,2026-11-01,203.043
Denis,2026-11-02,194.361
Denis,2026-11-03,194.915
Denis,2026-11-04,200.743
Denis,2026-11-05,163.896
Denis,2026-11-06,201.529
Denis,2026-11-07,192.856
Denis,2026-11-08,198.662
Denis,2026-11-09,193.477
Denis,2026-11-10,195.071
Dmitry,2026-11-01,191.667
Dmitry,2026-11-02,199.243
Dmitry,2026-11-03,184.683
Dmitry,2026-11-04,181.838
Dmitry,2026-11-05,188.417
Dmitry,2026-11-06,178.164
Dmitry,2026-11-07,181.876
Dmitry,2026-11-08,176.704
Dmitry,2026-11-09,181.096
Dmitry,2026-11-10,192.063
Ekaterina,2026-11-01,205.231
Ekaterina,2026-11-02,189.365
Ekaterina,2026-11-03,195.62
Ekaterina,2026-11-04,184.162
Ekaterina,2026-11-05,210.29
Ekaterina,2026-11-06,197.569
Ekaterina,2026-11-07,184.664
Ekaterina,2026-11-08,189.642
Ekaterina,2026-11-09,211.713
Ekaterina,2026-11-10,182.289
Elena,2026-11-01,185.092
Elena,2026-11-02,208.827
Elena,2026-11-03,200.208
Elena,2026-11-04,181.673
Elena,2026-11-05,170.175
Elena,2026-11-06,190.189
Elena,2026-11-07,206.83
Elena,2026-11-08,207.24
Elena,2026-11-09,177.409
Elena,2026-11-10,183.057
Evgeny,2026-11-01,163.968
Evgeny,2026-11-02,185.233
Evgeny,2026-11-03,191.084
Evgeny,2026-11-04,175.007
Evgeny,2026-11-05,205.246
Evgeny,2026-11-06,187.165
Evgeny,2026-11-07,199.576
Evgeny,2026-11-08,200.673
Evgeny,2026-11-09,206.82
Evgeny,2026-11-10,190.48
Grigory,2026-11-01,181.868
