id,string,data,float64
9,Dmitry,2026-11-09,888.934
72,Dmitry,2026-11-07,398.907
117,Dmitry,2026-11-05,105.464
163,Dmitry,2026-11-02,619.624
215,Dmitry,2026-11-03,676.247
255,Dmitry,2026-11-08,207.142
266,Dmitry,2026-11-02,838.251
288,Dmitry,2026-11-09,624.353
307,Dmitry,2026-11-08,933.964
311,Dmitry,2026-11-10,588.223
331,Dmitry,2026-11-09,38.6958
335,Dmitry,2026-11-08,348.038
353,Dmitry,2026-11-06,11.3007
357,Dmitry,2026-11-02,439.147
363,Dmitry,2026-11-10,317.604
378,Dmitry,2026-11-10,766.338
429,Dmitry,2026-11-05,804.328
450,Dmitry,2026-11-05,595.478
505,Dmitry,2026-11-04,595.261
517,Dmitry,2026-11-09,603.088
526,Dmitry,2026-11-05,825.919
595,Dmitry,2026-11-03,294.483
602,Dmitry,2026-11-08,473
656,Dmitry,2026-11-08,730.878
679,Dmitry,2026-11-09,769.252
690,Dmitry,2026-11-01,176.244
715,Dmitry,2026-11-07,544.013
728,Dmitry,2026-11-09,775.201
788,Dmitry,2026-11-09,743.798
833,Dmitry,2026-11-10,74.7094
887,Dmitry,2026-11-10,777.627
950,Dmitry,2026-11-01,432.157
957,Dmitry,2026-11-10,234.766
975,Dmitry,2026-11-08,745.242
988,Dmitry,2026-11-08,15.2438
1000,Dmitry,2026-11-02,778.116
1024,Dmitry,2026-11-01,617.17
1066,Dmitry,2026-11-07,672.724
1076,Dmitry,2026-11-04,554.015
1090,Dmitry,2026-11-08,605.543
1132,Dmitry,2026-11-09,652.51
1147,Dmitry,2026-11-09,764.652
1152,Dmitry,2026-11-05,830.052
1164,Dmitry,2026-11-03,344.803
1187,Dmitry,2026-11-10,225.687
1249,Dmitry,2026-11-04,408.219
1252,Dmitry,2026-11-05,665.218
1312,Dmitry,2026-11-07,556.801
1383,Dmitry,2026-11-01,378.59
1398,Dmitry,2026-11-01,217.812
1401,Dmitry,2026-11-07,74.3731
1467,Dmitry,2026-11-04,17.1063
1497,Dmitry,2026-11-03,771.209
1517,Dmitry,2026-11-06,588.571
1564,Dmitry,2026-11-04,130.209
1565,Dmitry,2026-11-10,875.116
1573,Dmitry,2026-11-01,371.872
1583,Dmitry,2026-11-06,941.555
1599,Dmitry,2026-11-09,148.501
1626,Dmitry,2026-11-09,14.4175
1635,Dmitry,2026-11-06,227.699
1692,Dmitry,2026-11-07,854.643
1714,Dmitry,2026-11-09,879.138
1729,Dmitry,2026-11-01,724.638
1751,Dmitry,2026-11-03,919.526
1758,Dmitry,2026-11-09,626.385
1792,Dmitry,2026-11-01,614.169
1804,Dmitry,2026-11-05,434.339
1881,Dmitry,2026-11-02,975.715
1890,Dmitry,2026-11-04,203.553
1917,Dmitry,2026-11-08,529.968
1933,Dmitry,2026-11-10,911.387
1998,Dmitry,2026-11-06,992.088
2010,Dmitry,2026-11-06,265.485
2020,Dmitry,2026-11-07,519.207
2052,Dmitry,2026-11-03,565.192
2059,Dmitry,2026-11-03,571.211
2070,Dmitry,2026-11-04,327.262
2081,Dmitry,2026-11-06,804.539
2082,Dmitry,2026-11-06,131.962
2129,Dmitry,2026-11-02,60.612
2144,Dmitry,2026-11-09,767.641
2154,Dmitry,2026-11-06,961.147
2156,Dmitry,2026-11-02,684.172
2163,Dmitry,2026-11-01,229.858
2173,Dmitry,2026-11-02,644.082
2186,Dmitry,2026-11-03,872.383
2210,Dmitry,2026-11-08,505.957
2235,Dmitry,2026-11-03,424.452
2299,Dmitry,2026-11-03,730.514
2320,Dmitry,2026-11-08,14.5002
2367,Dmitry,2026-11-05,489.045
2402,Dmitry,2026-11-01,160.182
2414,Dmitry,2026-11-09,326.315
2450,Dmitry,2026-11-04,411.13
2454,Dmitry,2026-11-08,390.454
2487,Dmitry,2026-11-02,169.682
2499,Dmitry,2026-11-08,669.79
2513,Dmitry,2026-11-06,943.939
2671,Dmitry,2026-11-01,672.645
2756,Dmitry,2026-11-03,333.707
2776,Dmitry,2026-11-01,379.008
2792,Dmitry,2026-11-01,546.193
2817,Dmitry,2026-11-05,807.682
2829,Dmitry,2026-11-03,56.177
2843,Dmitry,2026-11-07,882.322
2901,Dmitry,2026-11-10,523.057
2906,Dmitry,2026-11-03,568.424
2907,Dmitry,2026-11-01,465.8
2934,Dmitry,2026-11-07,664.238
2948,Dmitry,2026-11-07,411.991
3102,Dmitry,2026-11-06,83.6852
3130,Dmitry,2026-11-08,444.909
3154,Dmitry,2026-11-09,379.216
3196,Dmitry,2026-11-01,367.124
3259,Dmitry,2026-11-02,534.859
3260,Dmitry,2026-11-09,686.076
3282,Dmitry,2026-11-07,207.929
3429,Dmitry,2026-11-10,324.932
3443,Dmitry,2026-11-04,351.253
3456,Dmitry,2026-11-06,28.0854
3460,Dmitry,2026-11-01,753.188
3518,Dmitry,2026-11-02,165.825
3539,Dmitry,2026-11-09,17.8001
3644,Dmitry,2026-11-06,404.204
3645,Dmitry,2026-11-06,507.952
3659,Dmitry,2026-11-07,321.291
3680,Dmitry,2026-11-05,855.039
3681,Dmitry,2026-11-05,445.403
3682,Dmitry,2026-11-08,341.047
3698,Dmitry,2026-11-07,904.515
3750,Dmitry,2026-11-06,743.509
3831,Dmitry,2026-11-04,351.283
3834,Dmitry,2026-11-08,214.958
3842,Dmitry,2026-11-08,45.2123
3891,Dmitry,2026-11-04,79.5412
3893,Dmitry,2026-11-01,769.271
3957,Dmitry,2026-11-04,510.272
4018,Dmitry,2026-11-02,862.951
4056,Dmitry,2026-11-09,889.066
4102,Dmitry,2026-11-10,112.178
4143,Dmitry,2026-11-04,449.08
4179,Dmitry,2026-11-03,404.11
4215,Dmitry,2026-11-02,628.904
4228,Dmitry,2026-11-07,669.47
4272,Dmitry,2026-11-03,535.596
4284,Dmitry,2026-11-09,261.105
4297,Dmitry,2026-11-05,203.03
4319,Dmitry,2026-11-05,514.081
4353,Dmitry,2026-11-03,979.617
4356,Dmitry,2026-11-01,834.88
4369,Dmitry,2026-11-04,351.756
4404,Dmitry,2026-11-08,145.481
4468,Dmitry,2026-11-09,175.213
4496,Dmitry,2026-11-08,425.253
4542,Dmitry,2026-11-10,542.928
4574,Dmitry,2026-11-09,882.653
4576,Dmitry,2026-11-05,647.911
4667,Dmitry,2026-11-06,663.564
4674,Dmitry,2026-11-05,274.123
4701,Dmitry,2026-11-02,648.479
4727,Dmitry,2026-11-06,96.3832
4733,Dmitry,2026-11-03,904.316
4825,Dmitry,2026-11-05,817.732
4843,Dmitry,2026-11-07,660.821
4851,Dmitry,2026-11-06,362.675
4890,Dmitry,2026-11-02,181.746
4895,Dmitry,2026-11-03,197.811
4902,Dmitry,2026-11-10,638.335
4907,Dmitry,2026-11-10,536.46
4921,Dmitry,2026-11-05,826.439
4923,Dmitry,2026-11-10,525.328
4939,Dmitry,2026-11-10,617.453
4945,Dmitry,2026-11-02,650.542
4984,Dmitry,2026-11-07,982.791
5018,Dmitry,2026-11-03,519.153
5060,Dmitry,2026-11-05,196.412
5070,Dmitry,2026-11-05,605.134
5099,Dmitry,2026-11-02,382.951
5125,Dmitry,2026-11-07,86.8114
5181,Dmitry,2026-11-04,929.812
5193,Dmitry,2026-11-10,424.631
5235,Dmitry,2026-11-02,923.74
5245,Dmitry,2026-11-07,934.066
5285,Dmitry,2026-11-01,413.162
5343,Dmitry,2026-11-01,681.738
5412,Dmitry,2026-11-05,592.793
5419,Dmitry,2026-11-04,910.911
5442,Dmitry,2026-11-07,425.088
5465,Dmitry,2026-11-07,514.023
5528,Dmitry,2026-11-06,574.7
5531,Dmitry,2026-11-09,242.409
5548,Dmitry,2026-11-04,353.769
5570,Dmitry,2026-11-04,736.008
5665,Dmitry,2026-11-09,252.784
5682,Dmitry,2026-11-10,748.731
5725,Dmitry,2026-11-01,872.67
5727,Dmitry,2026-11-04,857.732
5731,Dmitry,2026-11-04,605.218
5740,Dmitry,2026-11-05,668.23
5757,Dmitry,2026-11-02,671.502
5797,Dmitry,2026-11-01,151.045
5806,Dmitry,2026-11-10,526.137
5847,Dmitry,2026-11-03,434.254
5858,Dmitry,2026-11-01,547.996
5872,Dmitry,2026-11-01,528.414
5875,Dmitry,2026-11-03,541.573
5914,Dmitry,2026-11-06,873.772
5936,Dmitry,2026-11-02,158.891
5988,Dmitry,2026-11-07,845.217
6016,Dmitry,2026-11-04,799.103
6036,Dmitry,2026-11-07,535.234
6044,Dmitry,2026-11-02,871.083
6089,Dmitry,2026-11-05,549.837
6157,Dmitry,2026-11-02,239.946
6222,Dmitry,2026-11-07,803.171
6279,Dmitry,2026-11-01,670.094
6288,Dmitry,2026-11-05,958.244
6307,Dmitry,2026-11-09,930.332
6374,Dmitry,2026-11-06,433.455
6384,Dmitry,2026-11-01,32.0258
6396,Dmitry,2026-11-10,788.513
6405,Dmitry,2026-11-09,981.402
6411,Dmitry,2026-11-06,718.019
6415,Dmitry,2026-11-05,106.629
6418,Dmitry,2026-11-04,623.029
6456,Dmitry,2026-11-05,356.825
6515,Dmitry,2026-11-08,796.936
6585,Dmitry,2026-11-01,448.793
6641,Dmitry,2026-11-01,276.194
6655,Dmitry,2026-11-02,887.82
6684,Dmitry,2026-11-06,750.585
6691,Dmitry,2026-11-09,88.1796
6710,Dmitry,2026-11-05,964.298
6730,Dmitry,2026-11-05,465.794
6737,Dmitry,2026-11-07,233.186
6789,Dmitry,2026-11-03,59.2445
6799,Dmitry,2026-11-03,697.566
6823,Dmitry,2026-11-05,328.768
6828,Dmitry,2026-11-04,342.909
6831,Dmitry,2026-11-10,142.916
6844,Dmitry,2026-11-08,438.682
6845,Dmitry,2026-11-04,30.3737
6930,Dmitry,2026-11-05,824.696
6934,Dmitry,2026-11-01,831.798
6973,Dmitry,2026-11-08,932.923
6988,Dmitry,2026-11-09,588.368
7031,Dmitry,2026-11-02,201.079
7074,Dmitry,2026-11-01,418.813
7155,Dmitry,2026-11-05,65.2903
7186,Dmitry,2026-11-07,862.357
7242,Dmitry,2026-11-08,825.083
7297,Dmitry,2026-11-09,517.575
7307,Dmitry,2026-11-02,548.637
7324,Dmitry,2026-11-01,716.841
7329,Dmitry,2026-11-09,103.956
7345,Dmitry,2026-11-09,962.578
7373,Dmitry,2026-11-07,980.648
7375,Dmitry,2026-11-01,846.374
7403,Dmitry,2026-11-07,855.377
7422,Dmitry,2026-11-02,640.806
7507,Dmitry,2026-11-09,758.852
7533,Dmitry,2026-11-01,182.045
7553,Dmitry,2026-11-05,242.878
7588,Dmitry,2026-11-01,508.405
7691,Dmitry,2026-11-10,906.768
7708,Dmitry,2026-11-08,893.85
7812,Dmitry,2026-11-08,591.184
7817,Dmitry,2026-11-03,159.948
7832,Dmitry,2026-11-03,938.892
7834,Dmitry,2026-11-06,715.522
7853,Dmitry,2026-11-01,634.155
7869,Dmitry,2026-11-05,557.367
7937,Dmitry,2026-11-05,221
8010,Dmitry,2026-11-05,250.387
8031,Dmitry,2026-11-08,871.049
8048,Dmitry,2026-11-07,539.303
8083,Dmitry,2026-11-03,225.907
8114,Dmitry,2026-11-06,408.55
8122,Dmitry,2026-11-02,113.236
8143,Dmitry,2026-11-01,947.054
8144,Dmitry,2026-11-03,410.368
8197,Dmitry,2026-11-08,279.303
8202,Dmitry,2026-11-03,443.461
8207,Dmitry,2026-11-04,853.99
8228,Dmitry,2026-11-04,964.054
8286,Dmitry,2026-11-02,863.854
8294,Dmitry,2026-11-02,264.52
8317,Dmitry,2026-11-03,874.535
8361,Dmitry,2026-11-03,776.518
8430,Dmitry,2026-11-07,934.04
8470,Dmitry,2026-11-09,640.089
8482,Dmitry,2026-11-04,386.638
8562,Dmitry,2026-11-05,752.132
8611,Dmitry,2026-11-05,678.178
8613,Dmitry,2026-11-10,954.004
8637,Dmitry,2026-11-10,455.832
8679,Dmitry,2026-11-10,886.764
8685,Dmitry,2026-11-04,319.283
8695,Dmitry,2026-11-06,20.1446
8825,Dmitry,2026-11-04,721.541
8923,Dmitry,2026-11-04,601.779
8925,Dmitry,2026-11-07,131.08
8926,Dmitry,2026-11-04,108.177
8930,Dmitry,2026-11-01,204.406
8960,Dmitry,2026-11-03,412.337
8970,Dmitry,2026-11-06,941.824
9109,Dmitry,2026-11-05,413.763
9143,Dmitry,2026-11-08,832.543
9163,Dmitry,2026-11-03,268.369
9228,Dmitry,2026-11-08,223.806
9344,Dmitry,2026-11-09,756.872
9370,Dmitry,2026-11-02,687.894
9397,Dmitry,2026-11-08,334.311
9401,Dmitry,2026-11-02,247.168
9451,Dmitry,2026-11-04,403.663
9452,Dmitry,2026-11-01,856.301
9477,Dmitry,2026-11-06,705.561
9491,Dmitry,2026-11-04,916.645
9508,Dmitry,2026-11-04,314.765
9575,Dmitry,2026-11-05,381.172
9737,Dmitry,2026-11-08,585.879
9763,Dmitry,2026-11-06,197.528
9794,Dmitry,2026-11-07,575.081
9816,Dmitry,2026-11-05,160.169
9902,Dmitry,2026-11-02,312.063
9918,Dmitry,2026-11-03,486.924
9919,Dmitry,2026-11-02,140.162
9983,Dmitry,2026-11-06,277.673
9993,Dmitry,2026-11-02,827.716
10001,Dmitry,2026-11-07,107.434
10023,Dmitry,2026-11-03,995.39
10083,Dmitry,2026-11-01,150.164
